date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:40:47%20GMT	http://www.ergonewtral.com/cdn/fonts/assistant/assistant_n4.bcd3d09dcb631dec5544b8fb7b154ff234a44630.woff2?h1=ZXJnb25ld3RyYWwuY29t&h2=bmV3dHJhbGNoYWlyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=933a07512f75ca13c417f244fc79e9545d4653468df4c3f5b3f23dd57b3f0f6e	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/fonts/assistant/assistant_n4.bcd3d09dcb631dec5544b8fb7b154ff234a446305aaf.woff2	(from https://www.ergonewtral.com/)
11:40:48	17000/17000	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Jul%202023%2000:33:33%20GMT	https://www.ergonewtral.com/cdn/fonts/assistant/assistant_n4.bcd3d09dcb631dec5544b8fb7b154ff234a44630.woff2?h1=ZXJnb25ld3RyYWwuY29t&h2=bmV3dHJhbGNoYWlyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=933a07512f75ca13c417f244fc79e9545d4653468df4c3f5b3f23dd57b3f0f6e	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/fonts/assistant/assistant_n4.bcd3d09dcb631dec5544b8fb7b154ff234a446305aaf.woff2	(from https://www.ergonewtral.com/)
11:40:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:40:49%20GMT	http://www.ergonewtral.com/cdn/fonts/assistant/assistant_n4.a2d012304becc2a26f1ded1acc136fcab85c9afd.woff?h1=ZXJnb25ld3RyYWwuY29t&h2=bmV3dHJhbGNoYWlyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=e42317ed31143e28460c1a633dbca9aa353ff4b817a553611444b3d496d336ef	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/fonts/assistant/assistant_n4.a2d012304becc2a26f1ded1acc136fcab85c9afd9c9a.woff	(from https://www.ergonewtral.com/)
11:40:50	17040/17040	---M--	200	added ('OK')	font/woff2	date:Mon,%2024%20Jul%202023%2016:31:10%20GMT	https://www.ergonewtral.com/cdn/fonts/assistant/assistant_n4.a2d012304becc2a26f1ded1acc136fcab85c9afd.woff?h1=ZXJnb25ld3RyYWwuY29t&h2=bmV3dHJhbGNoYWlyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=e42317ed31143e28460c1a633dbca9aa353ff4b817a553611444b3d496d336ef	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/fonts/assistant/assistant_n4.a2d012304becc2a26f1ded1acc136fcab85c9afd9c9a.woff	(from https://www.ergonewtral.com/)
11:40:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:40:51%20GMT	http://www.ergonewtral.com/cdn/fonts/assistant/assistant_n7.3335c7bdaddf2501ddab87cdbd9be98f3870e10d.woff2?h1=ZXJnb25ld3RyYWwuY29t&h2=bmV3dHJhbGNoYWlyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=376e93b71b3b0ffe88cc6304ab0602fec781b8572e34edffab1894c48bc92f47	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/fonts/assistant/assistant_n7.3335c7bdaddf2501ddab87cdbd9be98f3870e10d68ef.woff2	(from https://www.ergonewtral.com/)
11:40:52	17236/17236	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Jul%202023%2000:33:48%20GMT	https://www.ergonewtral.com/cdn/fonts/assistant/assistant_n7.3335c7bdaddf2501ddab87cdbd9be98f3870e10d.woff2?h1=ZXJnb25ld3RyYWwuY29t&h2=bmV3dHJhbGNoYWlyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=376e93b71b3b0ffe88cc6304ab0602fec781b8572e34edffab1894c48bc92f47	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/fonts/assistant/assistant_n7.3335c7bdaddf2501ddab87cdbd9be98f3870e10d68ef.woff2	(from https://www.ergonewtral.com/)
11:40:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:40:53%20GMT	http://www.ergonewtral.com/cdn/fonts/assistant/assistant_n7.7c85f5c5cc1555de92cc7ef2790ee3cffe5237f5.woff?h1=ZXJnb25ld3RyYWwuY29t&h2=bmV3dHJhbGNoYWlyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=7b09291de8075b044d3ecbfde4cb2230f41e83325206173097a62a57b6f4cb89	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/fonts/assistant/assistant_n7.7c85f5c5cc1555de92cc7ef2790ee3cffe5237f57a20.woff	(from https://www.ergonewtral.com/)
11:40:54	17244/17244	---M--	200	added ('OK')	font/woff2	date:Sat,%2024%20Jun%202023%2018:35:27%20GMT	https://www.ergonewtral.com/cdn/fonts/assistant/assistant_n7.7c85f5c5cc1555de92cc7ef2790ee3cffe5237f5.woff?h1=ZXJnb25ld3RyYWwuY29t&h2=bmV3dHJhbGNoYWlyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=7b09291de8075b044d3ecbfde4cb2230f41e83325206173097a62a57b6f4cb89	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/fonts/assistant/assistant_n7.7c85f5c5cc1555de92cc7ef2790ee3cffe5237f57a20.woff	(from https://www.ergonewtral.com/)
11:40:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:40:55%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/base.css?v=19666067365360246481657593664	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/baseefbc.css	(from https://www.ergonewtral.com/)
11:40:57	51202/51202	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202023%2016:47:19%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/base.css?v=19666067365360246481657593664	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/baseefbc.css	(from https://www.ergonewtral.com/)
11:40:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:40:57%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/component-predictive-search.css?v=165644661289088488651657593645	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-predictive-searcha73c.css	(from https://www.ergonewtral.com/)
11:40:58	3829/3829	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2019:02:06%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/component-predictive-search.css?v=165644661289088488651657593645	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-predictive-searcha73c.css	(from https://www.ergonewtral.com/)
11:40:59	78155/78155	---MCZ	404	error ('Not%20Found')	text/html	etag:%22cacheable:05872cd5f46d2696400a86c3e521f4f8%22	https://www.ergonewtral.com/POST	/Users/admin/websites/yizi/www.ergonewtral.com/POST	(from https://www.ergonewtral.com/)
11:41:00	17771/17771	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:%22cacheable:05872cd5f46d2696400a86c3e521f4f8%22	https://www.ergonewtral.com/cdn	/Users/admin/websites/yizi/www.ergonewtral.com/cdn	(from https://www.ergonewtral.com/)
11:41:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:01%20GMT	http://www.ergonewtral.com/cdn/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	(from https://www.ergonewtral.com/)
11:41:03	8318/8318	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2012%20Apr%202023%2016:30:59%20GMT	https://www.ergonewtral.com/cdn/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	(from https://www.ergonewtral.com/)
11:41:04	59535/59535	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2010%20Apr%202023%2017:39:40%20GMT	https://www.ergonewtral.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://www.ergonewtral.com/)
11:41:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:05%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/component-list-menu.css?v=151968516119678728991657593653	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-list-menu6f74.css	(from https://www.ergonewtral.com/)
11:41:06	120014/120014	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:a0921e61d273c743ca0ea94778a563b7%22	https://www.ergonewtral.com/collections/all	/Users/admin/websites/yizi/www.ergonewtral.com/collections/all.html	(from https://www.ergonewtral.com/)
11:41:06	516/516	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Aug%202023%2010:20:53%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/component-list-menu.css?v=151968516119678728991657593653	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-list-menu6f74.css	(from https://www.ergonewtral.com/)
11:41:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:07%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/component-search.css?v=96455689198851321781657593639	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-searcha2c5.css	(from https://www.ergonewtral.com/)
11:41:08	594/594	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Aug%202023%2016:33:34%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/component-search.css?v=96455689198851321781657593639	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-searcha2c5.css	(from https://www.ergonewtral.com/)
11:41:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:09%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/component-menu-drawer.css?v=182311192829367774911657593643	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-menu-drawerc511.css	(from https://www.ergonewtral.com/)
11:41:10	4658/4658	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Aug%202023%2007:48:46%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/component-menu-drawer.css?v=182311192829367774911657593643	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-menu-drawerc511.css	(from https://www.ergonewtral.com/)
11:41:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:11%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/component-cart-notification.css?v=119852831333870967341657593637	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-cart-notification506b.css	(from https://www.ergonewtral.com/)
11:41:12	2102/2102	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2019:02:14%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/component-cart-notification.css?v=119852831333870967341657593637	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-cart-notification506b.css	(from https://www.ergonewtral.com/)
11:41:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:13%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/component-cart-items.css?v=23917223812499722491657593664	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-cart-itemsd299.css	(from https://www.ergonewtral.com/)
11:41:14	4166/4166	---M-Z	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202023%2016:47:19%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/component-cart-items.css?v=23917223812499722491657593664	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-cart-itemsd299.css	(from https://www.ergonewtral.com/)
11:41:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:15%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/component-price.css?v=112673864592427438181657593643	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-pricebb2b.css	(from https://www.ergonewtral.com/)
11:41:16	1536/1536	---M-Z	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202023%2003:38:59%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/component-price.css?v=112673864592427438181657593643	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-pricebb2b.css	(from https://www.ergonewtral.com/)
11:41:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:17%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/component-loading-overlay.css?v=167310470843593579841657593667	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-loading-overlay703f.css	(from https://www.ergonewtral.com/)
11:41:18	1039/1039	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2019:16:19%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/component-loading-overlay.css?v=167310470843593579841657593667	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-loading-overlay703f.css	(from https://www.ergonewtral.com/)
11:41:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:19%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/details-disclosure.js?v=153497636716254413831657593660	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/details-disclosure0b02.js	(from https://www.ergonewtral.com/)
11:41:20	2534/2534	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2006%20Jul%202023%2019:02:14%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/details-disclosure.js?v=153497636716254413831657593660	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/details-disclosure0b02.js	(from https://www.ergonewtral.com/)
11:41:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:21%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/details-modal.js?v=4511761896672669691657593659	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/details-modalb5b7.js	(from https://www.ergonewtral.com/)
11:41:23	2701/2701	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2011%20Aug%202023%2016:47:20%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/details-modal.js?v=4511761896672669691657593659	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/details-modalb5b7.js	(from https://www.ergonewtral.com/)
11:41:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:23%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/cart-notification.js?v=31179948596492670111657593642	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/cart-notification597c.js	(from https://www.ergonewtral.com/)
11:41:24	3453/3453	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2011%20Aug%202023%2015:26:11%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/cart-notification.js?v=31179948596492670111657593642	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/cart-notification597c.js	(from https://www.ergonewtral.com/)
11:41:26	315966/315966	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:57139b17da7f9232237191d7b2c99ef1%22	https://www.ergonewtral.com/products/the-ultimate-office-chair-to-relieve-low-back-pressure	/Users/admin/websites/yizi/www.ergonewtral.com/products/the-ultimate-office-chair-to-relieve-low-back-pressure.html	(from https://www.ergonewtral.com/)
11:41:27	230036/230036	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:33bcbeb188f4461dbe024fe410e566d3%22	https://www.ergonewtral.com/products/newtral-ergonomic-office-chair-with-adaptive-lumbar-support	/Users/admin/websites/yizi/www.ergonewtral.com/products/newtral-ergonomic-office-chair-with-adaptive-lumbar-support.html	(from https://www.ergonewtral.com/)
11:41:29	82765/82765	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:8bac1af8886e563f59bcd6ee7face6db%22	https://www.ergonewtral.com/pages/our-team	/Users/admin/websites/yizi/www.ergonewtral.com/pages/our-team.html	(from https://www.ergonewtral.com/)
11:41:29	86404/86404	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:cc77b1ffcb6f185ca1ac532b3b3d38b2%22	https://www.ergonewtral.com/pages/privacy-policy	/Users/admin/websites/yizi/www.ergonewtral.com/pages/privacy-policy.html	(from https://www.ergonewtral.com/)
11:41:30	84625/84625	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:d0e06d4e4297ea61b6c9b7936c4c9213%22	https://www.ergonewtral.com/pages/shipping-policy	/Users/admin/websites/yizi/www.ergonewtral.com/pages/shipping-policy.html	(from https://www.ergonewtral.com/)
11:41:31	99900/99900	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:64a40e60ca76a94c3e90ba33b2c0c57e%22	https://www.ergonewtral.com/pages/terms-of-service	/Users/admin/websites/yizi/www.ergonewtral.com/pages/terms-of-service.html	(from https://www.ergonewtral.com/)
11:41:32	85473/85473	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:508d7f925cdf352ebb64bfc865047430%22	https://www.ergonewtral.com/pages/after-sales-policy	/Users/admin/websites/yizi/www.ergonewtral.com/pages/after-sales-policy.html	(from https://www.ergonewtral.com/)
11:41:33	91047/91047	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:b3d4757661e8b36fe6899c037d06ec4f%22	https://www.ergonewtral.com/pages/verify-product	/Users/admin/websites/yizi/www.ergonewtral.com/pages/verify-product.html	(from https://www.ergonewtral.com/)
11:41:34	83067/83067	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:05aa3e2c5c4f4a3b9d23605035898632%22	https://www.ergonewtral.com/pages/product-assembly	/Users/admin/websites/yizi/www.ergonewtral.com/pages/product-assembly.html	(from https://www.ergonewtral.com/)
11:41:35	81808/81808	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:d19627a517dac3d00ec65b7e1a97d363%22	https://www.ergonewtral.com/pages/contact	/Users/admin/websites/yizi/www.ergonewtral.com/pages/contact.html	(from https://www.ergonewtral.com/)
11:41:37	79885/79885	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:6f614322bd74660c968103d769119db6%22	https://www.ergonewtral.com/account/login	/Users/admin/websites/yizi/www.ergonewtral.com/account/login.html	(from https://www.ergonewtral.com/)
11:41:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:36%20GMT	http://www.ergonewtral.com/cdn/shop/files/NEWTRAL_LOGO_2.png?v=1658488169	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/files/NEWTRAL_LOGO_2fd37.png	(from https://www.ergonewtral.com/)
11:41:37	5235/5235	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202023%2003:41:37%20GMT	https://www.ergonewtral.com/cdn/shop/files/NEWTRAL_LOGO_2.png?v=1658488169	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/files/NEWTRAL_LOGO_2fd37.png	(from https://www.ergonewtral.com/)
11:41:39	94573/94573	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:017624d33427ee04f5ee80db5299b7cc%22	https://www.ergonewtral.com/cart	/Users/admin/websites/yizi/www.ergonewtral.com/cart.html	(from https://www.ergonewtral.com/)
11:41:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:39%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/section-image-banner.css?v=170916557215809668651657593644	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/section-image-bannera2a2.css	(from https://www.ergonewtral.com/)
11:41:40	7399/7399	---M-Z	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202023%2022:11:20%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/section-image-banner.css?v=170916557215809668651657593644	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/section-image-bannera2a2.css	(from https://www.ergonewtral.com/)
11:41:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:41%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/component-slider.css?v=95971316053212773771657593645	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-slider0313.css	(from https://www.ergonewtral.com/)
11:41:42	7890/7890	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Aug%202023%2001:57:41%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/component-slider.css?v=95971316053212773771657593645	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-slider0313.css	(from https://www.ergonewtral.com/)
11:41:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:43%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/component-slideshow.css?v=87432719022228681551657593660	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-slideshow9b94.css	(from https://www.ergonewtral.com/)
11:41:44	3730/3730	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2013:31:22%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/component-slideshow.css?v=87432719022228681551657593660	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/component-slideshow9b94.css	(from https://www.ergonewtral.com/)
11:41:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:45%20GMT	http://www.ergonewtral.com/cdn/shop/files/Ergonewtral_ergonomic_office_chair_9.jpg?v=1661921262&width=1500	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/files/Ergonewtral_ergonomic_office_chair_9038a.jpg	(from https://www.ergonewtral.com/)
11:41:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:41:47%20GMT	http://www.ergonewtral.com/cdn/shop/files/4_07727f1b-0bc3-4d2a-b00a-f7f2ea5c42bb.jpg?v=1660123206&width=1500	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/files/4_07727f1b-0bc3-4d2a-b00a-f7f2ea5c42bb7d13.jpg	(from https://www.ergonewtral.com/)
